==== START logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-qdscf ====
ERROR: logging before flag.Parse: W1103 03:27:28.108352       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:55383->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:33.108663       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:45311->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:38.108940       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:59674->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:43.109446       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33938->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:48.109733       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:55403->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:53.110042       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:58784->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:27:58.110294       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:49697->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:28:03.110591       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:49302->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:28:08.110871       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:45672->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:30:18.131548       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:58226->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:30:23.131907       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:59893->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:30:28.132209       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:52394->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:30:33.132611       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:59129->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:30:38.133042       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:47782->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:30:43.133339       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:52031->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:30:48.133611       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:50696->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:30:53.133879       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:55578->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:30:58.134179       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:42831->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:03.134456       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:36677->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:08.134758       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:53509->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:13.135141       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:52612->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:18.135517       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:51329->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:23.135855       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33270->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:28.136276       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:48839->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:33.136685       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:54119->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:38.137043       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:51799->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:43.137412       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:35267->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:48.137709       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:47121->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:53.138106       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:44668->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:31:58.138697       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:52196->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:32:03.139127       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:57500->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:32:08.139573       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:56565->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:32:13.139990       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:44821->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:32:18.140412       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33123->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:32:23.140705       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:48595->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:32:28.141011       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:52071->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:32:33.141346       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:35607->127.0.0.1:53: read: connection refused
ERROR: logging before flag.Parse: W1103 03:32:38.141790       1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:38579->127.0.0.1:53: read: connection refused
